02:15:54.979 [main] INFO  org.example.SortingApp - message
02:25:09.426 [main] INFO  org.example.SortingApp - starting program...
02:25:09.429 [main] INFO  org.example.SortingApp - iterating whole args array
02:25:09.432 [main] INFO  org.example.SortingApp - program completed
02:26:47.097 [main] INFO  org.example.SortingApp - starting program...
02:26:47.101 [main] ERROR org.example.SortingApp - eror message...
02:26:47.102 [main] INFO  org.example.SortingApp - iterating whole args array
02:26:47.105 [main] INFO  org.example.SortingApp - program completed
02:27:12.788 [main] INFO  org.example.SortingApp - starting program...
02:27:12.792 [main] WARN  org.example.SortingApp - eror message...
02:27:12.792 [main] INFO  org.example.SortingApp - iterating whole args array
02:27:12.795 [main] INFO  org.example.SortingApp - program completed
02:31:59.485 [main] INFO  org.example.SortingApp - starting program...
02:31:59.506 [main] INFO  org.example.SortingApp - marker message
02:31:59.506 [main] INFO  org.example.SortingApp - iterating whole args array
02:31:59.509 [main] INFO  org.example.SortingApp - program completed
02:39:05.409 [main] INFO  org.example.SortingApp - starting program...
02:39:05.417 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:39:05.435 [main] INFO  org.example.SortingApp - starting program...
02:39:05.436 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:39:05.442 [main] INFO  org.example.SortingApp - starting program...
02:39:05.443 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.445 [main] INFO  org.example.SortingApp - program completed
02:39:05.451 [main] INFO  org.example.SortingApp - starting program...
02:39:05.452 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.452 [main] INFO  org.example.SortingApp - program completed
02:39:05.452 [main] INFO  org.example.SortingApp - starting program...
02:39:05.453 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.454 [main] INFO  org.example.SortingApp - program completed
02:39:05.560 [main] INFO  org.example.SortingApp - starting program...
02:39:05.561 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.561 [main] INFO  org.example.SortingApp - program completed
02:39:05.562 [main] INFO  org.example.SortingApp - starting program...
02:39:05.562 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.563 [main] INFO  org.example.SortingApp - program completed
02:39:05.572 [main] INFO  org.example.SortingApp - starting program...
02:39:05.573 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.573 [main] INFO  org.example.SortingApp - program completed
02:39:05.573 [main] INFO  org.example.SortingApp - starting program...
02:39:05.573 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.573 [main] INFO  org.example.SortingApp - program completed
02:39:05.578 [main] INFO  org.example.SortingApp - starting program...
02:39:05.578 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.578 [main] INFO  org.example.SortingApp - program completed
02:39:05.578 [main] INFO  org.example.SortingApp - starting program...
02:39:05.578 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.579 [main] INFO  org.example.SortingApp - program completed
02:39:05.582 [main] INFO  org.example.SortingApp - starting program...
02:39:05.582 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.583 [main] INFO  org.example.SortingApp - program completed
02:39:05.583 [main] INFO  org.example.SortingApp - starting program...
02:39:05.584 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.584 [main] INFO  org.example.SortingApp - program completed
02:39:05.587 [main] INFO  org.example.SortingApp - starting program...
02:39:05.588 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.588 [main] INFO  org.example.SortingApp - program completed
02:39:05.588 [main] INFO  org.example.SortingApp - starting program...
02:39:05.589 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.589 [main] INFO  org.example.SortingApp - program completed
02:39:05.593 [main] INFO  org.example.SortingApp - starting program...
02:39:05.593 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.594 [main] INFO  org.example.SortingApp - program completed
02:39:05.594 [main] INFO  org.example.SortingApp - starting program...
02:39:05.594 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.595 [main] INFO  org.example.SortingApp - program completed
02:39:05.602 [main] INFO  org.example.SortingApp - starting program...
02:39:05.602 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.603 [main] INFO  org.example.SortingApp - program completed
02:39:05.606 [main] INFO  org.example.SortingApp - starting program...
02:39:05.607 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.607 [main] INFO  org.example.SortingApp - program completed
02:39:05.611 [main] INFO  org.example.SortingApp - starting program...
02:39:05.612 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.612 [main] INFO  org.example.SortingApp - program completed
02:39:05.616 [main] INFO  org.example.SortingApp - starting program...
02:39:05.616 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.616 [main] INFO  org.example.SortingApp - program completed
02:39:05.670 [main] INFO  org.example.SortingApp - starting program...
02:39:05.670 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.671 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:05.679 [main] INFO  org.example.SortingApp - starting program...
02:39:05.680 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.680 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:05.684 [main] INFO  org.example.SortingApp - starting program...
02:39:05.684 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.685 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:05.688 [main] INFO  org.example.SortingApp - starting program...
02:39:05.688 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.689 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:05.692 [main] INFO  org.example.SortingApp - starting program...
02:39:05.693 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.693 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:05.697 [main] INFO  org.example.SortingApp - starting program...
02:39:05.697 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:05.697 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:37.070 [main] INFO  org.example.SortingApp - starting program...
02:39:37.073 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:39:37.082 [main] INFO  org.example.SortingApp - starting program...
